"jobTitle","company","meanPay"
"Customer Service - Hourly","State Farm","$15/hr"
"Customer Service - Hourly","Appliancepartspros.com","$12/hr"
"Customer Service - Hourly","Tesla","$16/hr"
"Customer Service - Hourly","Fry's Food","$14/hr"
"Customer Service","QBE","$41,181/yr"
"Customer Service","Bed Bath & Beyond","$59,296/yr"
"Customer Service","Cintas","$33,876/yr"
"Customer Service - Hourly","Yogurtland","$9/hr"
"Customer Service - Hourly","Trulite","$15/hr"
"Customer Service - Hourly","Sendik's","$8/hr"
"Customer Service - Hourly","Harris Teeter","$10/hr"
"Customer Service","Asbury Automotive","$38,120/yr"
"Customer Service - Hourly","Shop 'n Save","$16/hr"
"Customer Service - Hourly","Vonage","$15/hr"
"Customer Service - Hourly","Panera Bread","$11/hr"
"Customer Service - Hourly","Metrocast","$12/hr"
"Customer Service","The Hartford","$38,705/yr"
"Customer Service - Hourly","Bard","$18/hr"
"Customer Service","TradeKing","$48,124/yr"
"Customer Service - Hourly","Braum's","$9/hr"
"Customer Service","Mohela","$35,000/yr"
"Customer Service - Hourly","Sam's Club","$11/hr"
"Customer Service","Highmark","$31,487/yr"
"Customer Service - Hourly","Tedder Industries","$11/hr"
"Customer Service - Hourly","DriveTime Automotive Group","$17/hr"
"Customer Service - Hourly","Lowe's","$11/hr"
"Customer Service - Hourly","Blue Cross and Blue Shield of North Carolina","$17/hr"
"Customer Service - Hourly","King Soopers","$11/hr"
"Customer Service - Hourly","Nelnet","$14/hr"
"Customer Service","Santander Consumer USA","$35,201/yr"
"Customer Service - Hourly","Arise","$12/hr"
"Customer Service","Pearson","$36,952/yr"
"Customer Service - Hourly","RJW Transport","$15/hr"
"Customer Service - Hourly","Big Lots","$9/hr"
"Customer Service","Abbott Laboratories","$40,388/yr"
"Customer Service","Handy","$37,687/yr"
"Customer Service - Hourly","Best Western","$9/hr"
"Customer Service","Macy's","$35,691/yr"
"Customer Service - Hourly","Standard Market","$13/hr"
"Customer Service - Hourly","Amazon","$11/hr"
"Customer Service - Hourly","Purely Poultry","$12/hr"
"Customer Service - Hourly","De Anza College","$10/hr"
"Customer Service - Hourly","Saks Fifth Avenue","$15/hr"
"Customer Service","ArcelorMittal USA","$53,026/yr"
"Customer Service - Hourly","Fiserv","$16/hr"
"Customer Service - Hourly","Panduit","$18/hr"
"Customer Service - Hourly","Telvista","$11/hr"
"Customer Service","AEP","$40,082/yr"
"Customer Service - Hourly","Intrado","$12/hr"
"Customer Service","SPAN Enterprises","$32,303/yr"
"Customer Service - Hourly","HomeServe USA","$13/hr"
"Customer Service - Hourly","MAXIMUS","$15/hr"
"Customer Service - Hourly","CSAA Insurance Group, a AAA Insurer","$15/hr"
"Customer Service","Dow Jones","$36,756/yr"
"Customer Service","First Data","$33,637/yr"
