"jobTitle","meanPay","Range"
"Staff Support Engineer","$104,752/yr","Range: $97K - $130K"
"Senior Manager, IT","$160,589/yr","Range: $135K - $165K"
"Senior Engineering Technician","$64,014/yr","Range: $52K - $70K"
"Senior Marketing Analyst","$91,336/yr","Range: $90K - $96K"
"Programmer Analyst, Staff","$122,794/yr","Range: $115K - $136K"
"Senior Staff - Systems Software Engineer","$164,719/yr","Range: $162K - $181K"
"Test Technician","$57,361/yr","Range: $40K - $59K"
"Regional Sales Manager","$157,799/yr","Range: $103K - $172K"
"Senior Data Analyst","$92,344/yr","Range: $90K - $124K"
"Engineer I - Hourly Contractor","$36/hr","Range: $30 - $56"
"RFIC Design Engineer","$106,881/yr","Range: $101K - $127K"
"Senior Director Product Management","$228,536/yr","Range: $226K - $247K"
"Sourcing Manager","$141,807/yr","Range: $133K - $150K"
"Senior Technical Program Manager","$158,240/yr","Range: $122K - $166K"
"Staff Software Development Engineer","$144,491/yr","Range: $138K - $152K"
"Director IT","$174,123/yr","Range: $149K - $200K"
"Systems Test Engineer - Contractor","$83,770/yr","Range: $70K - $109K"
"Engineer, Staff/Manager","$174,821/yr","Range: $137K - $193K"
"Software Engineer - Hourly","$41/hr","Range: $40 - $45"
"Business Development Director","$205,276/yr","Range: $202K - $222K"
"Staff Program Manager - Chipset","$158,534/yr","Range: $146K - $165K"
"Program Analyst - Hourly Contractor","$38/hr","Range: $22 - $55"
"Circuit Design Engineer","$99,411/yr","Range: $95K - $107K"
"Staff Program Analyst","$109,098/yr","Range: $99K - $129K"
"Software Engineer II - Contractor","$83,218/yr","Range: $82K - $100K"
"Associate Financial Analyst - Hourly","$27/hr","Range: $27 - $29"
"Technical Marketing Engineer","$108,522/yr","Range: $89K - $110K"
"Software Engineering Manager","$195,442/yr","Range: $151K - $206K"
"Director - Program Management","$198,685/yr","Range: $178K - $228K"
"Software Engineer III - Hourly Contractor","$65/hr","Range: $64 - $81"
"Engineering Manager","$117,165/yr","Range: $116K - $181K"
"ASIC Design","$110,309/yr","Range: $109K - $165K"
"Director of Program Management","$183,586/yr","Range: $184K - $209K"
"VLSI Design Engineer","$124,187/yr","Range: $124K - $139K"
"Technical Support Engineer","$72,067/yr","Range: $65K - $81K"
"Systems Test Engineer - Hourly Intern","$34/hr","Range: $29 - $37"
"Software Development - Hourly Intern","$34/hr","Range: $21 - $38"
"Hardware Applications Engineer","$97,157/yr","Range: $92K - $102K"
"Senior Business Development Manager","$157,789/yr","Range: $149K - $161K"
"Test Engineer - Hourly Intern","$25/hr","Range: $22 - $39"
"RF Systems Engineer","$141,742/yr","Range: $90K - $174K"
"Senior Engineer/VLSI","$123,785/yr","Range: $124K - $125K"
"Principal/Manager Hardware Engineer","$210,305/yr","Range: $193K - $234K"
"Senior IT Business Systems Analyst","$136,753/yr","Range: $136K - $141K"
"Digital Design Verification Engineer","$105,559/yr","Range: $105K - $118K"
"Verification Engineer","$113,214/yr","Range: $110K - $132K"
"Test Development Engineer","$92,816/yr","Range: $92K - $93K"
"Mixed-signal Design Engineer","$93,930/yr","Range: $88K - $100K"
"Business Development Manager","$129,839/yr","Range: $117K - $172K"
"Senior Director, Hardware Engineering","$248,932/yr","Range: $231K - $276K"
"Senior Digital Design Engineer","$125,922/yr","Range: $100K - $142K"
"Staff Packaging Engineer","$142,318/yr","Range: $131K - $146K"
"Design Verification Engineer - Hourly Contractor","$70/hr","Range: $39 - $96"
"Senior Quality Engineer","$107,933/yr","Range: $104K - $109K"
"Software Engineer - Monthly Intern","$5,989/mo","Range: $6K - $7K"
"Senior Staffing Specialist","$124,563/yr","Range: $101K - $135K"
"Support Engineer, Senior","$92,329/yr","Range: $88K - $96K"
"Staff Physical Design Engineer","$152,951/yr","Range: $131K - $162K"
"Modem Test Engineer","$95,789/yr","Range: $70K - $100K"
"Senior Director, Engineering","$224,048/yr","Range: $222K - $272K"
"Senior Project Systems Engineer","$104,585/yr","Range: $97K - $107K"
"Senior Systems Analyst II","$111,216/yr","Range: $101K - $123K"
"Senior Staff Systems Engineer/Manager","$190,278/yr","Range: $175K - $205K"
"Systems Engineer In Test","$94,312/yr","Range: $91K - $98K"
"IT Engineer, Senior - Hourly","$49/hr","Range: $44 - $54"
"Cpu Verification Engineer","$98,589/yr","Range: $89K - $107K"
"Program Analyst - Hourly","$33/hr","Range: $28 - $38"
