"jobTitle","company","meanPay"
"Marketing","Chemours","$92,043/yr"
"Marketing - Hourly Intern","DIRECTV","$19/hr"
"Marketing","Ring","$119,988/yr"
"Marketing - Hourly Intern","Bio-Rad Laboratories","$18/hr"
"Marketing","Philips","$64,918/yr"
"Marketing - Hourly Intern","Avis Budget Group","$17/hr"
"Marketing - Hourly Intern","Arnold","$13/hr"
"Marketing","Hewlett Packard Enterprise | HPE","$101,179/yr"
"Marketing - Hourly Intern","FCA Fiat Chrysler Automobiles","$19/hr"
"Marketing","Otter Products","$64,334/yr"
"Marketing","Fidelis Care","$49,268/yr"
"Marketing - Hourly Intern","Allstate","$11/hr"
"Marketing - Hourly Intern","Visa Inc.","$27/hr"
"Marketing - Hourly Intern","Mosaic Sales Solutions","$12/hr"
"Marketing","Thermo Fisher Scientific","$91,254/yr"
"Marketing","MINDBODY","$45,836/yr"
"Marketing - Hourly Intern","Aetna","$19/hr"
"Marketing - Hourly Intern","The Toro Company","$18/hr"
"Marketing","Boston Children's Hospital","$69,972/yr"
"Marketing","Blind","$80,000/yr"
"Marketing - Hourly","The Wedding Shoppe","$13/hr"
"Marketing - Hourly Contractor","Visa Inc.","$57/hr"
"Marketing","TDS Telecommunications","$75,406/yr"
"Marketing","Henkel","$98,262/yr"
"Marketing - Hourly Intern","On the Fly Marketing","$9/hr"
"Marketing - Hourly Intern","Experian","$13/hr"
"Marketing","Kennametal","$60,532/yr"
"Marketing - Hourly Intern","Red Bull","$17/hr"
"Marketing - Hourly Intern","Northwestern Mutual","$11/hr"
"Marketing","Hulu","$85,779/yr"
"Marketing","Morningstar","$64,502/yr"
"Marketing","Williams-Sonoma","$60,099/yr"
"Marketing","Blendtec","$96,959/yr"
"Marketing - Hourly","Prescription Lifeline","$9/hr"
"Marketing","Carrot-Top Industries","$32,358/yr"
"Marketing","Trimble","$101,591/yr"
"Marketing - Hourly Intern","Salesforce","$19/hr"
"Marketing","Summer Infant","$44,795/yr"
"Marketing","Papa John's","$37,473/yr"
"Marketing","Box","$207,613/yr"
"Marketing","Alteryx","$78,003/yr"
"Marketing - Hourly Intern","American Honda Motor","$18/hr"
"Marketing","Keypath Education","$49,881/yr"
"Marketing - Hourly Intern","Titanium Event Management","$8/hr"
"Marketing","Pampered Chef","$83,933/yr"
"Marketing","Mitratech","$55,551/yr"
"Marketing","Griffin Technology","$43,055/yr"
"Marketing - Hourly Intern","Course Hero","$11/hr"
"Marketing","Encana","$105,891/yr"
"Marketing - Hourly Intern","YMCA","$12/hr"
"Marketing - Hourly Intern","Subaru of America","$17/hr"
"Marketing","Panzura","$47,899/yr"
"Marketing","LHC Group","$54,047/yr"
"Marketing","ModCloth","$59,427/yr"
"Marketing - Hourly Intern","Dow Jones","$13/hr"
"Marketing - Hourly Intern","Parker Hannifin","$17/hr"
"Marketing - Hourly Intern","UnitedHealth Group","$18/hr"
"Marketing - Hourly Intern","Acelity","$16/hr"
"Marketing","PCM","$42,717/yr"
"Marketing","HarperCollins","$82,186/yr"
"Marketing - Hourly Intern","Water Pik","$16/hr"
"Marketing","Sybase","$56,828/yr"
"Marketing - Hourly Intern","Time Warner Cable","$17/hr"
"Marketing","PepsiCo","$60,427/yr"
"Marketing","Loomis Sayles & Company","$88,409/yr"
"Marketing - Hourly Intern","Universal Orlando Resort","$11/hr"
"Marketing - Hourly Intern","SeatGeek","$16/hr"
"Marketing - Hourly Intern","Coty","$16/hr"
"Marketing - Hourly Intern","Allergan","$19/hr"
"Marketing","American National Insurance","$46,227/yr"
"Marketing","8x8","$93,778/yr"
"Marketing - Hourly Intern","Tower Group (New York)","$22/hr"
"Marketing","Avalara","$53,940/yr"
"Marketing","Fisher Investments","$55,902/yr"
"Marketing","Therapy 2000","$55,066/yr"
"Marketing","HOSTING","$64,326/yr"
"Marketing - Hourly Intern","Nationwide","$16/hr"
"Marketing","Dentsply Sirona","$69,964/yr"
"Marketing - Hourly Intern","CooperVision","$16/hr"
"Marketing - Monthly Intern","BNSF Railway","$3,494/mo"
"Marketing","Healthgrades","$79,660/yr"
"Marketing - Hourly Intern","McDonald's","$22/hr"
"Marketing - Hourly","Prescription Lifeline","$10/hr"
"Marketing","Vital Pharmaceuticals (VPX)","$43,372/yr"
"Marketing - Hourly Intern","Houzz","$13/hr"
"Marketing","Vita Coco","$52,881/yr"
"Marketing - Hourly Intern","Ally Financial","$19/hr"
"Marketing - Hourly Intern","Domo","$16/hr"
"Marketing","adidas","$61,073/yr"
"Marketing","Compass","$65,254/yr"
"Marketing - Hourly Intern","WestRock","$17/hr"
"Marketing","eviCore healthcare","$64,918/yr"
"Marketing - Hourly Intern","AOL","$16/hr"
"Marketing - Hourly Intern","Big Lots","$17/hr"
"Marketing - Hourly Intern","Milwaukee Journal Sentinel","$10/hr"
"Marketing","DiscoverOrg","$87,815/yr"
"Marketing","Hilti North America","$119,500/yr"
"Marketing","Liberty Mutual Insurance","$107,778/yr"
"Marketing - Hourly Intern","Blue Cross Blue Shield of Michigan","$16/hr"
"Marketing","Passages Hospice","$50,111/yr"
"Marketing","Solution Tree","$41,076/yr"
"Marketing","Cynosure","$126,146/yr"
"Marketing - Hourly Intern","Thornton Tomasetti","$13/hr"
"Marketing","Southco","$77,201/yr"
"Marketing - Hourly Intern","Meijer","$15/hr"
"Marketing - Hourly","Vigor","$18/hr"
"Marketing","Barneys","$85,172/yr"
"Marketing","Market America","$64,668/yr"
"Marketing - Hourly Intern","Indianapolis Motor Speedway","$8/hr"
"Marketing - Hourly Intern","First Quality","$14/hr"
"Marketing - Hourly Intern","Henry Ford Health System","$13/hr"
"Marketing - Hourly Intern","Office Depot","$19/hr"
"Marketing","LogicMonitor","$100,980/yr"
"Marketing","The Bouqs Company","$72,351/yr"
"Marketing","CMG Financial","$52,222/yr"
"Marketing - Hourly Intern","CafePress","$14/hr"
"Marketing","Redbubble","$123,892/yr"
"Marketing","Signet Jewelers","$57,766/yr"
"Marketing","Fender Musical Instruments","$64,279/yr"
"Marketing","Reynolds and Reynolds","$32,229/yr"
"Marketing","Fishbowl Marketing","$58,090/yr"
"Marketing - Hourly Intern","Kaplan","$11/hr"
"Marketing","Precept Wine","$74,500/yr"
"Marketing - Hourly Intern","Ultimate Software","$17/hr"
"Marketing","1-800-Flowers.com","$62,155/yr"
"Marketing","C&T Publishing","$47,757/yr"
"Marketing","Sovereign Health Group","$56,899/yr"
"Marketing","Quark Software","$48,934/yr"
"Marketing - Hourly","Improveit! Home Remodeling","$19/hr"
"Marketing","Perk","$50,830/yr"
"Marketing","Bleu Marketing Solutions","$50,883/yr"
"Marketing - Hourly Intern","Princess Cruise Lines","$19/hr"
"Marketing","Anixter International","$45,862/yr"
"Marketing","SRI International","$146,064/yr"
"Marketing - Hourly Intern","Sealed Air Corporation","$22/hr"
"Marketing","Solid Cactus","$47,975/yr"
"Marketing","Liaison International","$56,983/yr"
"Marketing","AAA Northern California, Nevada & Utah","$139,158/yr"
"Marketing","Sunquest Information Systems","$45,757/yr"
"Marketing - Hourly Intern","FOX Sports","$11/hr"
"Marketing","Geneia","$59,979/yr"
"Marketing","Ossur","$116,752/yr"
"Marketing - Hourly Intern","Momentive Performance Materials","$23/hr"
"Marketing","Trunk Club","$103,813/yr"
"Marketing - Hourly Intern","Raymond James Financial","$13/hr"
"Marketing - Hourly Intern","UCLA","$10/hr"
"Marketing - Monthly Intern","Walmart","$3,340/mo"
"Marketing - Hourly Intern","Optimum Nutrition, Inc.","$17/hr"
"Marketing","BuroHappold","$58,564/yr"
"Marketing","StreetAuthority","$43,109/yr"
"Marketing","IKEA","$85,145/yr"
"Marketing","Orvis Company","$72,961/yr"
"Marketing","Economist Group","$91,617/yr"
"Marketing - Hourly Intern","Handex Consulting & Remediation","$11/hr"
"Marketing","Napleton Automotive Group","$57,498/yr"
"Marketing","Bio-Rad Laboratories","$127,082/yr"
"Marketing","Stanley Black & Decker","$54,378/yr"
"Marketing","FCA Fiat Chrysler Automobiles","$63,101/yr"
"Marketing - Hourly Intern","Henderson Glass","$11/hr"
"Marketing","The Zappos Family","$62,897/yr"
"Marketing","4Life Research","$42,784/yr"
"Marketing","HubSpot","$74,064/yr"
"Marketing","Pacific Life","$78,637/yr"
"Marketing - Hourly Intern","PennWell Corporation","$11/hr"
"Marketing","Wall Street Journal","$115,696/yr"
"Marketing","Accenture","$72,371/yr"
"Marketing - Hourly Intern","AMC Networks","$13/hr"
"Marketing","Spigit","$110,110/yr"
"Marketing","Lifesize","$123,077/yr"
"Marketing - Hourly Intern","BASF","$19/hr"
"Marketing","Safeway","$82,259/yr"
"Marketing","RISI","$74,190/yr"
"Marketing - Hourly Intern","Hertz","$16/hr"
"Marketing","SABIC","$80,764/yr"
"Marketing","Tumblr","$60,941/yr"
"Marketing","Shutterfly","$110,267/yr"
"Marketing - Hourly Intern","Andersen","$18/hr"
"Marketing - Hourly Intern","Lubrizol","$21/hr"
"Marketing - Hourly Intern","Ameriprise","$16/hr"
"Marketing","Chive Media Group","$69,278/yr"
"Marketing - Hourly Intern","BMO Financial Group","$20/hr"
"Marketing - Hourly Intern","Buffalo Wild Wings","$17/hr"
"Marketing - Hourly Intern","Global Prairie","$13/hr"
"Marketing - Hourly Intern","AEG Presents","$10/hr"
"Marketing","immixGroup","$60,865/yr"
"Marketing","Belk","$76,826/yr"
"Marketing - Hourly Intern","Illumina","$24/hr"
"Marketing","Phenomenex","$51,361/yr"
"Marketing","Forever 21","$57,166/yr"
"Marketing","Susan G. Komen","$70,161/yr"
"Marketing","Big Ass Fans","$59,719/yr"
"Marketing - Hourly Intern","Bentley Systems","$16/hr"
"Marketing - Hourly Intern","Clarkston Consulting","$14/hr"
"Marketing - Hourly Intern","Hyatt","$15/hr"
"Marketing","Realogics Sotheby's International Realty","$54,455/yr"
"Marketing","PeopleAdmin","$38,397/yr"
"Marketing","Algolia","$116,241/yr"
"Marketing - Hourly Intern","Intel Corporation","$18/hr"
"Marketing - Monthly Intern","Norfolk Southern","$4,284/mo"
"Marketing","Neighborly®","$48,177/yr"
"Marketing - Hourly Intern","Jarden","$13/hr"
"Marketing","Aberdeen","$66,298/yr"
"Marketing - Monthly","Prescription Lifeline","$3,059/mo"
"Marketing","Philips Lighting","$77,274/yr"
"Marketing","Veritas","$143,384/yr"
"Marketing","Kabbage","$57,788/yr"
"Marketing","Visa Inc.","$102,946/yr"
