"jobTitle","meanPay","Range"
"Sales Planner Trainee","$66,045/yr","Range: $62K - $76K"
"HR Intern","$87,355/yr","Range: $80K - $107K"
"Senior Analytics Consultant","$104,393/yr","Range: $91K - $128K"
"Software Engineer - Monthly","$8,466/mo","Range: $5K - $14K"
"Senior Management Systems Analyst","$100,025/yr","Range: $92K - $117K"
"HR Associate","$61,227/yr","Range: $57K - $71K"
"Senior Wealth Management Manager","$114,511/yr","Range: $108K - $145K"
"Finance Associate","$71,153/yr","Range: $66K - $92K"
"R&D Engineer","$123,729/yr","Range: $106K - $142K"
"Associate Consultant","$74,285/yr","Range: $54K - $94K"
"Senior Information Architect","$115,487/yr","Range: $109K - $131K"
"Senior Computer Systems Analyst","$99,833/yr","Range: $94K - $105K"
"Medical Physicist Leader","$104,596/yr","Range: $99K - $120K"
"Functional Analyst","$74,194/yr","Range: $68K - $99K"
"Global Sales Manager Leader","$89,235/yr","Range: $84K - $103K"
"Senior Visual Designer","$96,315/yr","Range: $81K - $119K"
"Senior Director, Account Management","$182,301/yr","Range: $166K - $209K"
"Digital Marketing","$81,037/yr","Range: $71K - $160K"
"Software Account Executive","$86,724/yr","Range: $43K - $165K"
"Senior Director, Creative Management","$143,934/yr","Range: $113K - $181K"
"Field Sales","$75,219/yr","Range: $72K - $88K"
