"jobTitle","meanPay","Range"
"Team Manager","$81,763/yr","Range: $75K - $89K"
"Strategy Associate","$128,082/yr","Range: $108K - $150K"
"Technical Writer - Hourly Contractor","$40/hr","Range: $36 - $43"
"Principal Visual Designer","$135,280/yr","Range: $111K - $163K"
"Software Engineering Manager","$190,832/yr","Range: $177K - $205K"
"Senior Writer","$92,645/yr","Range: $87K - $98K"
"Asset Manager","$112,605/yr","Range: $102K - $125K"
"HRBP","$110,202/yr","Range: $100K - $120K"
"Chief Architect","$257,235/yr","Range: $232K - $288K"
"Experience Design Manager","$193,165/yr","Range: $180K - $208K"
"Design Manager Intern","$94,037/yr","Range: $81K - $108K"
"Data Entry Clerk","$35,826/yr","Range: $31K - $40K"
"Senior Leadership Development Manager","$88,451/yr","Range: $76K - $100K"
"Senior HRBP","$131,757/yr","Range: $119K - $145K"
