"jobTitle","company","meanPay"
"Intern - Hourly","HubSpot","$16/hr"
"Intern - Hourly","Shire","$23/hr"
"Intern - Hourly","Skidmore, Owings & Merrill LLP","$22/hr"
"Intern - Hourly","eBay","$43/hr"
"Intern - Hourly","Mashable","$11/hr"
"Intern - Hourly","CA Technologies","$21/hr"
"Intern - Hourly","General Dynamics Mission Systems","$23/hr"
"Intern - Hourly","MathWorks","$31/hr"
"Intern - Hourly","Rockwell Collins","$18/hr"
"Intern - Hourly","Motorola Mobility","$27/hr"
"Intern - Hourly","CDW","$12/hr"
"Intern - Hourly","W.L. Gore","$24/hr"
"Intern - Hourly","Granite Construction","$19/hr"
"Intern - Hourly","Aetna","$18/hr"
"Intern - Hourly","Marsh & McLennan Companies","$20/hr"
"Intern - Monthly","NIH","$2,204/mo"
"Intern - Hourly","Amgen","$23/hr"
"Intern - Hourly","Major League Baseball (MLB)","$13/hr"
"Intern - Hourly","Wayfair","$17/hr"
"Intern - Hourly","McCann Worldgroup","$12/hr"
"Intern","Google","$80,000/yr"
"Intern - Hourly","Applied Medical","$15/hr"
"Intern - Hourly","Arup","$22/hr"
"Intern - Hourly","ON Semiconductor","$25/hr"
"Intern - Hourly","World Wide Technology","$13/hr"
"Intern - Hourly","Textron","$19/hr"
"Intern - Hourly","Western Digital","$24/hr"
"Intern - Hourly","Air Products","$27/hr"
"Intern - Hourly","ChemPoint","$13/hr"
"Intern - Hourly","Success Academy Charter Schools","$11/hr"
"Intern - Hourly","BorgWarner","$18/hr"
"Intern - Hourly","Cardinal Health","$20/hr"
"Intern - Hourly","Langan Engineering and Environmental Services","$17/hr"
"Intern - Hourly","Steelcase","$19/hr"
"Intern - Hourly","M&T Bank","$15/hr"
"Intern - Hourly","Bristol-Myers Squibb","$25/hr"
"Intern - Hourly","Faurecia","$18/hr"
"Intern - Hourly","Baird","$15/hr"
"Intern - Hourly","Siemens Medical Solutions Health Services","$21/hr"
"Intern - Hourly","Ultimate Software","$19/hr"
"Intern - Hourly","Veterans United Home Loans","$13/hr"
"Intern - Hourly","Union Bank","$21/hr"
"Intern - Monthly","Lawrence Livermore National Laboratory","$6,285/mo"
"Intern - Hourly","Toys ""R"" Us","$19/hr"
"Intern - Hourly","Stanley Black & Decker","$16/hr"
"Intern - Hourly","OneMain Financial","$14/hr"
"Intern - Hourly","AXA Advisors","$12/hr"
"Intern - Hourly","Sears","$18/hr"
"Intern - Hourly","Arizona Public Service Company","$21/hr"
"Intern - Hourly","Tyson Foods","$14/hr"
"Intern - Hourly","GSD&M","$10/hr"
"Intern - Hourly","Creative Artists Agency","$11/hr"
"Intern - Hourly","Sesame Workshop","$11/hr"
"Intern - Hourly","Legg Mason","$18/hr"
"Intern - Hourly","Jabil","$17/hr"
"Intern - Hourly","PSB Research","$11/hr"
"Intern - Hourly","SAS Institute","$19/hr"
"Intern - Hourly","Level 3 Communications","$17/hr"
"Intern - Hourly","Marcus & Millichap","$12/hr"
"Intern - Hourly","Applied Materials","$32/hr"
"Intern - Hourly","Dow Jones","$13/hr"
"Intern - Hourly","Zimmer Biomet","$20/hr"
"Intern - Hourly","Novartis","$20/hr"
"Intern - Hourly","Federated Investors","$15/hr"
"Intern - Hourly","Under Armour","$16/hr"
"Intern - Hourly","IGT","$15/hr"
"Intern - Hourly","Staples","$17/hr"
"Intern - Hourly","Waste Management","$13/hr"
"Intern - Hourly","Silicon Valley Bank","$19/hr"
"Intern - Monthly","Hensel Phelps","$2,877/mo"
"Intern - Hourly","Dillard's","$15/hr"
"Intern - Hourly","Great American Insurance Group","$15/hr"
"Intern - Hourly","MIT Lincoln Laboratory","$25/hr"
"Intern - Hourly","Dominion Energy","$20/hr"
"Intern - Hourly","Gartner","$16/hr"
"Intern - Monthly","Delphi","$3,673/mo"
"Intern - Hourly","Union Pacific","$20/hr"
"Intern - Hourly","The Hershey Company","$19/hr"
"Intern - Hourly","Lockton Companies","$15/hr"
"Intern - Hourly","DICK'S Sporting Goods","$16/hr"
"Intern - Hourly","Cargill","$21/hr"
"Intern - Hourly","Maxim Integrated","$35/hr"
"Intern - Hourly","BD","$20/hr"
"Intern - Hourly","Interbrand","$14/hr"
"Intern - Hourly","Ingersoll Rand","$19/hr"
"Intern - Monthly","BP","$6,472/mo"
"Intern - Hourly","St. Jude Medical","$21/hr"
"Intern - Hourly","Balfour Beatty","$16/hr"
"Intern - Hourly","Cox Communications","$17/hr"
"Intern - Hourly","Freescale Semiconductor","$29/hr"
"Intern - Hourly","J.B. Hunt Transport","$14/hr"
"Intern - Hourly","Kronos Incorporated","$18/hr"
"Intern - Hourly","Scripps Networks Interactive","$17/hr"
"Intern","Citi","$55,250/yr"
"Intern - Hourly","Stantec","$20/hr"
"Intern - Hourly","Société Générale","$27/hr"
"Intern - Monthly","Alcoa","$3,720/mo"
"Intern - Hourly","Center on Budget and Policy Priorities","$11/hr"
"Intern - Hourly","Mentor Graphics","$21/hr"
"Intern - Hourly","KeyBank","$18/hr"
"Intern - Hourly","US Airways","$14/hr"
"Intern - Hourly","Arrow Electronics","$16/hr"
"Intern - Hourly","Mitsubishi Electric Research Laboratories","$39/hr"
"Intern - Hourly","The Home Depot","$20/hr"
"Intern - Hourly","ABC News","$12/hr"
"Intern - Hourly","HP Inc.","$22/hr"
"Intern - Hourly","PayPal","$39/hr"
"Intern - Hourly","McKesson","$21/hr"
"Intern - Hourly","John Hancock","$19/hr"
"Intern - Hourly","MassMutual","$16/hr"
"Intern - Hourly","Pratt & Whitney","$26/hr"
"Intern - Hourly","CIT","$22/hr"
"Intern - Hourly","Continental","$19/hr"
"Intern - Monthly","FCA Fiat Chrysler Automobiles","$3,128/mo"
"Intern - Hourly","NASA Langley Research Center","$16/hr"
"Intern - Hourly","Navistar","$22/hr"
"Intern - Hourly","Christie's","$10/hr"
"Intern - Hourly","AMD","$32/hr"
"Intern - Hourly","CohnReznick","$24/hr"
"Intern - Hourly","Federal Reserve Bank of Richmond","$18/hr"
"Intern - Hourly","Bose","$24/hr"
"Intern - Hourly","US Agricultural Research Service","$16/hr"
"Intern - Hourly","ANSYS","$25/hr"
"Intern - Hourly","IQVIA","$22/hr"
"Intern - Hourly","American Red Cross","$14/hr"
"Intern - Hourly","Volvo Trucks","$18/hr"
"Intern - Hourly","Amtrak","$20/hr"
"Intern - Hourly","Samsung Electronics America","$22/hr"
"Intern - Hourly","W.W. Norton","$9/hr"
"Intern - Hourly","FedEx","$22/hr"
"Intern - Hourly","World Resources Institute","$13/hr"
"Intern - Monthly","Dow","$4,313/mo"
"Intern - Hourly","Monsanto Company","$20/hr"
"Intern - Hourly","Synopsys","$31/hr"
"Intern - Monthly","Cato Institute","$1,001/mo"
"Intern - Hourly","Madison Square Garden","$10/hr"
"Intern - Hourly","Pioneer Hybrid International","$18/hr"
"Intern - Hourly","Anheuser-Busch","$20/hr"
"Intern - Hourly","Fiserv","$16/hr"
"Intern - Monthly","Eaton","$4,614/mo"
"Intern - Hourly","Harvey & Company LLC","$11/hr"
"Intern - Hourly","Starcom MediaVest Group","$11/hr"
"Intern - Hourly","Leidos","$22/hr"
"Intern - Hourly","AmerisourceBergen","$17/hr"
"Intern - Hourly","Perkins Eastman","$16/hr"
"Intern - Hourly","Fast Enterprises","$21/hr"
"Intern - Hourly","SunPower","$26/hr"
"Intern - Hourly","Eaton Vance","$19/hr"
"Intern - Hourly","Analog Devices","$27/hr"
"Intern - Hourly","FINRA","$20/hr"
"Intern - Hourly","Belk","$14/hr"
"Intern - Monthly","United States House of Representatives","$1,079/mo"
"Intern - Monthly","Inter-American Development Bank","$3,235/mo"
"Intern - Hourly","Lear Corporation","$20/hr"
"Intern - Hourly","BioMarin Pharmaceutical","$20/hr"
"Intern - Hourly","Navy Federal Credit Union","$13/hr"
"Intern - Hourly","FIS","$15/hr"
"Intern - Hourly","Aerotek","$13/hr"
"Intern - Hourly","Mortenson","$18/hr"
"Intern - Monthly","Westinghouse","$3,210/mo"
"Intern - Hourly","Cintas","$16/hr"
"Intern - Hourly","Farmers Insurance Group","$14/hr"
"Intern - Hourly","Center for Strategic and International Studies","$11/hr"
"Intern - Hourly","SSL","$25/hr"
"Intern - Hourly","Universal Music Group","$9/hr"
"Intern - Hourly","Xcel Energy","$19/hr"
"Intern - Hourly","Campbell Soup Company","$21/hr"
"Intern - Hourly","Moody's Analytics","$27/hr"
"Intern - Hourly","Lendlease","$19/hr"
"Intern - Hourly","Disney Parks & Resorts","$10/hr"
"Intern - Hourly","Ross Stores","$15/hr"
"Intern - Hourly","Boehringer Ingelheim","$24/hr"
"Intern - Hourly","Blue Cross Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas | HCSC","$22/hr"
"Intern - Hourly","Williams-Sonoma","$16/hr"
"Intern - Hourly","athenahealth","$21/hr"
"Intern - Hourly","Volvo Construction Equipment","$17/hr"
"Intern - Hourly","Dow","$29/hr"
"Intern - Hourly","Plantronics","$17/hr"
"Intern - Hourly","American Eagle Outfitters","$14/hr"
"Intern - Hourly","BMW of North America","$16/hr"
"Intern - Hourly","Ketchum","$13/hr"
"Intern - Monthly","Ford Motor Company","$4,058/mo"
"Intern - Hourly","360i","$11/hr"
"Intern - Hourly","Lincoln Financial Group","$20/hr"
"Intern - Hourly","Esri","$23/hr"
"Intern - Hourly","Lubrizol","$22/hr"
"Intern - Hourly","Aon Hewitt","$18/hr"
"Intern - Hourly","Broadridge","$19/hr"
"Intern - Hourly","Bell","$22/hr"
"Intern - Hourly","Environmental Protection Agency","$16/hr"
"Intern - Hourly","The Nature's Bounty Co.","$14/hr"
"Intern - Hourly","HD Supply","$16/hr"
"Intern - Hourly","US Chamber of Commerce","$13/hr"
"Intern - Hourly","UPMC","$16/hr"
"Intern - Hourly","Celgene","$22/hr"
"Intern - Hourly","Shure","$25/hr"
"Intern - Hourly","Cymer","$24/hr"
"Intern - Hourly","Deutsche Bank","$20/hr"
"Intern - Hourly","Praxair","$21/hr"
"Intern - Monthly","Siemens","$2,001/mo"
"Intern - Hourly","Bard","$17/hr"
"Intern - Hourly","General Atomics","$22/hr"
